id,fonts,plugins,cookiesEnabled,platform,userAgent,continent,screenResolution,bot
1,['PMingLiU'],[],False,Linux x86_64,"Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Code/1.85.1 Chrome/114.0.5735.289 Electron/25.9.7 Safari/537.36",EU,1382400,bad
2,"['Batang', 'Bitstream Vera Sans Mono', 'MS Mincho', 'MS UI Gothic', 'Meiryo UI', 'PMingLiU']","['PDF Viewer', 'Chrome PDF Viewer', 'Chromium PDF Viewer', 'Microsoft Edge PDF Viewer', 'WebKit built-in PDF']",True,Linux x86_64,Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0,EU,1382400,notDetected
3,"['Batang', 'Bitstream Vera Sans Mono', 'MS Mincho', 'MS UI Gothic', 'Meiryo UI', 'PMingLiU']","['PDF Viewer', 'Chrome PDF Viewer', 'Chromium PDF Viewer', 'Microsoft Edge PDF Viewer', 'WebKit built-in PDF']",True,Linux x86_64,Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0,EU,1382400,notDetected
4,['PMingLiU'],"['PDF Viewer', 'Chrome PDF Viewer', 'Chromium PDF Viewer', 'Microsoft Edge PDF Viewer', 'WebKit built-in PDF']",True,MacIntel,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",EU,1296000,notDetected
5,['PMingLiU'],"['PDF Viewer', 'Chrome PDF Viewer', 'Chromium PDF Viewer', 'Microsoft Edge PDF Viewer', 'WebKit built-in PDF']",True,MacIntel,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15",EU,1296000,notDetected
6,['PMingLiU'],"['PDF Viewer', 'Chrome PDF Viewer', 'Chromium PDF Viewer', 'Microsoft Edge PDF Viewer', 'WebKit built-in PDF']",True,MacIntel,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36",EU,2073600,notDetected
7,['PMingLiU'],"['PDF Viewer', 'Chrome PDF Viewer', 'Chromium PDF Viewer', 'Microsoft Edge PDF Viewer', 'WebKit built-in PDF']",True,Win32,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36",EU,1049088,notDetected
8,"['Batang', 'Bitstream Vera Sans Mono', 'MS Mincho', 'MS UI Gothic', 'Meiryo UI', 'PMingLiU']","['PDF Viewer', 'Chrome PDF Viewer', 'Chromium PDF Viewer', 'Microsoft Edge PDF Viewer', 'WebKit built-in PDF']",True,Linux x86_64,Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0,EU,1382400,bad
9,"['Batang', 'Bitstream Vera Sans Mono', 'MS Mincho', 'MS UI Gothic', 'Meiryo UI', 'PMingLiU']","['PDF Viewer', 'Chrome PDF Viewer', 'Chromium PDF Viewer', 'Microsoft Edge PDF Viewer', 'WebKit built-in PDF']",True,Linux x86_64,Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0,EU,1382400,bad
10,"['Batang', 'Bitstream Vera Sans Mono', 'MS Mincho', 'MS UI Gothic', 'Meiryo UI', 'PMingLiU']","['PDF Viewer', 'Chrome PDF Viewer', 'Chromium PDF Viewer', 'Microsoft Edge PDF Viewer', 'WebKit built-in PDF']",True,Linux x86_64,Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0,EU,1382400,bad
11,"['Batang', 'Bitstream Vera Sans Mono', 'MS Mincho', 'MS UI Gothic', 'Meiryo UI', 'PMingLiU']","['PDF Viewer', 'Chrome PDF Viewer', 'Chromium PDF Viewer', 'Microsoft Edge PDF Viewer', 'WebKit built-in PDF']",True,Linux x86_64,Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0,EU,1382400,bad
12,"['Batang', 'Bitstream Vera Sans Mono', 'MS Mincho', 'MS UI Gothic', 'Meiryo UI', 'PMingLiU']","['PDF Viewer', 'Chrome PDF Viewer', 'Chromium PDF Viewer', 'Microsoft Edge PDF Viewer', 'WebKit built-in PDF']",True,Linux x86_64,Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0,EU,1382400,bad
13,"['Batang', 'Bitstream Vera Sans Mono', 'MS Mincho', 'MS UI Gothic', 'Meiryo UI', 'PMingLiU']","['PDF Viewer', 'Chrome PDF Viewer', 'Chromium PDF Viewer', 'Microsoft Edge PDF Viewer', 'WebKit built-in PDF']",True,Linux x86_64,Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0,EU,1382400,bad
14,"['Batang', 'Bitstream Vera Sans Mono', 'MS Mincho', 'MS UI Gothic', 'Meiryo UI', 'PMingLiU']","['PDF Viewer', 'Chrome PDF Viewer', 'Chromium PDF Viewer', 'Microsoft Edge PDF Viewer', 'WebKit built-in PDF']",True,Linux x86_64,Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0,EU,1382400,bad
15,"['Batang', 'Bitstream Vera Sans Mono', 'MS Mincho', 'MS UI Gothic', 'Meiryo UI', 'PMingLiU']","['PDF Viewer', 'Chrome PDF Viewer', 'Chromium PDF Viewer', 'Microsoft Edge PDF Viewer', 'WebKit built-in PDF']",True,Linux x86_64,Mozilla/5.0 (X11; Linux x86_64; rv:120.0) Gecko/20100101 Firefox/120.0,EU,1382400,bad
